Ticker,Company,Sector,Current Price,Intrinsic Value,Margin of Safety,MoS %,MoS Band,Piotroski F-Score,Altman Z-Score,WACC,ROIC,EV/FCF Yield,Normalized EPS,EPV Value,Multiple Value,DCF Value,Interest Coverage,Debt/Equity,Years of Data
EL,The Estée Lauder Companies Inc.,Consumer Defensive,84.73989868164062,26.821000235389914,-2.1594607933311742,-215.9%,Overvalued,5,2.98,9.1%,8.7%,1.7%,2.6821000235389914,29.80111137265546,26.821000235389914,N/A,3.2x,2.45,4
INTU,Intuit Inc.,Technology,333.4200134277344,103.11219323162862,-2.233565332848154,-223.4%,Overvalued,9,4.99,9.2%,16.6%,5.0%,10.311219323162863,114.56910359069849,103.11219323162862,292.3977810062167,20.0x,0.34,4
HUBB,Hubbell Incorporated,Industrials,456.8299865722656,140.20156816452254,-2.2583800063932857,-225.8%,Overvalued,5,5.37,8.4%,16.3%,2.7%,14.020156816452255,155.77952018280286,140.20156816452254,255.56654880718824,18.9x,0.65,4
ES,Eversource Energy,Utilities,75.29000091552734,23.044696404708013,-2.2671292167748263,-226.7%,Overvalued,7,0.77,5.7%,5.1%,N/A,2.3044696404708014,25.60521822745335,23.044696404708013,N/A,2.4x,1.86,4
FRT,Federal Realty Investment Trust,Real Estate,125.63500213623047,38.45275353120831,-2.267256323640514,-226.7%,Overvalued,4,1.28,7.3%,4.4%,1.6%,3.845275353120831,42.72528170134257,38.45275353120831,N/A,2.5x,1.55,4
APD,"Air Products and Chemicals, Inc.",Basic Materials,293.1449890136719,89.7024360702751,-2.2679713267097323,-226.8%,Overvalued,2,2.82,6.7%,7.2%,N/A,8.97024360702751,99.66937341141677,89.7024360702751,N/A,13.5x,1.23,4
ETR,Entergy Corporation,Utilities,110.20999908447266,33.722815214364985,-2.2681138387736457,-226.8%,Overvalued,6,1.10,5.7%,5.5%,N/A,3.3722815214364985,37.469794682627764,33.722815214364985,N/A,2.4x,1.82,4
CL,Colgate-Palmolive Company,Consumer Defensive,93.05999755859375,28.449517777236988,-2.2710571155287864,-227.1%,Overvalued,5,7.10,5.8%,45.7%,3.7%,2.844951777723699,31.6105753080411,28.449517777236988,136.42939493344048,15.9x,158.41,4
BLK,"BlackRock, Inc.",Financial Services,1098.72998046875,334.63221366719677,-2.2833957269920067,-228.3%,Overvalued,3,N/A,11.2%,10.5%,2.3%,36.45592321459317,405.0658134954797,364.5592321459317,334.63221366719677,12.9x,0.27,4
FE,FirstEnergy Corp.,Utilities,50.09000015258789,15.153056022611507,-2.3056038384496964,-230.6%,Overvalued,5,0.80,5.1%,5.7%,N/A,1.5153056022611506,16.836728914012784,15.153056022611507,N/A,2.7x,2.12,4
IBM,International Business Machines Corporation,Technology,226.33999633789062,68.35012147258523,-2.31147906487151,-231.1%,Overvalued,6,3.21,6.7%,11.8%,4.1%,6.8350121472585235,75.9445794139836,68.35012147258523,323.2084172016326,6.5x,1.98,4
BKNG,Booking Holdings Inc.,Consumer Cyclical,201.56500244140625,60.11588119610545,-2.3529409938095434,-235.3%,Overvalued,6,6.83,9.6%,N/A,4.8%,6.011588119610545,66.79542355122828,60.11588119610545,150.86707368510022,5.7x,N/A,4
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,164.98500061035156,49.17205750912919,-2.355259246162737,-235.5%,Overvalued,7,9.27,8.9%,20.4%,4.2%,4.917205750912919,54.63561945458799,49.17205750912919,N/A,11.0x,0.76,4
AMGN,Amgen Inc.,Healthcare,391.2349853515625,116.12755078866923,-2.369010908217105,-236.9%,Overvalued,7,1.94,6.1%,13.3%,3.4%,11.612755078866922,129.03061198741025,116.12755078866923,531.5626005395304,3.3x,6.31,4
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,34.167701721191406,10.130138048886208,-2.3728762190904287,-237.3%,Overvalued,7,6.46,8.9%,21.0%,2.6%,1.0130138048886208,11.255708943206898,10.130138048886208,17.126706523802728,N/A,1.79,4
ESS,"Essex Property Trust, Inc.",Real Estate,296.6400146484375,86.5728205705731,-2.426479727625603,-242.6%,Overvalued,6,1.82,6.9%,3.9%,3.2%,8.65728205705731,96.19202285619234,86.5728205705731,361.18191470150276,2.3x,1.24,4
CMI,Cummins Inc.,Industrials,601.469970703125,175.28562607065095,-2.43137075290301,-243.1%,Overvalued,5,4.97,10.1%,17.3%,1.8%,17.528562607065094,194.76180674516772,175.28562607065095,N/A,11.7x,0.66,4
ALL,The Allstate Corporation,Financial Services,276.375,80.01743784236969,-2.4539346354034075,-245.4%,Overvalued,5,N/A,5.4%,N/A,8.7%,13.083629213832769,145.3736579314752,80.01743784236969,N/A,N/A,0.24,4
GILD,"Gilead Sciences, Inc.",Healthcare,134.0399932861328,38.75537012264845,-2.458617292569746,-245.9%,Overvalued,8,4.35,6.0%,23.1%,4.8%,3.875537012264845,43.06152235849828,38.75537012264845,249.57587380967587,11.4x,1.10,4
BKR,Baker Hughes Company,Energy,60.19499969482422,17.399970951794913,-2.459488516480238,-245.9%,Overvalued,6,2.64,8.8%,13.3%,2.9%,1.7399970951794914,19.333301057549907,17.399970951794913,N/A,16.0x,0.32,4
KO,The Coca-Cola Company,Consumer Defensive,90.25,25.56007436672089,-2.530897395099332,-253.1%,Overvalued,6,5.42,8.9%,17.5%,1.7%,2.556007436672089,28.400082629689877,25.56007436672089,N/A,9.0x,1.41,4
BXP,"BXP, Inc.",Real Estate,73.63999938964844,20.85301859496811,-2.5313831930029536,-253.1%,Overvalued,5,0.68,5.9%,3.8%,4.4%,2.085301859496811,23.17002066107568,20.85301859496811,279.1159767790691,1.6x,3.37,4
ICE,"Intercontinental Exchange, Inc.",Financial Services,154.53500366210938,43.69045815689714,-2.5370424156953804,-253.7%,Overvalued,8,N/A,8.2%,8.2%,3.2%,4.369045815689714,48.544953507663486,43.69045815689714,121.18867057156999,6.2x,0.70,4
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,270.9800109863281,76.32603833865815,-2.550295769105577,-255.0%,Overvalued,8,6.70,10.7%,13.6%,1.6%,7.632603833865815,84.80670926517573,76.32603833865815,N/A,11.5x,0.41,4
EFX,Equifax Inc.,Industrials,189.33999633789062,53.323875777189265,-2.5507545837260004,-255.1%,Overvalued,8,3.36,9.7%,9.1%,2.4%,5.332387577718927,59.248750863543634,53.323875777189265,N/A,5.2x,1.11,4
FCX,Freeport-McMoRan Inc.,Basic Materials,58.369998931884766,16.362796828638505,-2.5672385071557193,-256.7%,Overvalued,5,2.85,10.5%,20.1%,1.5%,1.6362796828638504,18.180885365153895,16.362796828638505,N/A,17.6x,0.56,4
EME,"EMCOR Group, Inc.",Industrials,674.85498046875,186.71564115778034,-2.614346266248135,-261.4%,Overvalued,7,6.64,10.1%,40.9%,3.2%,18.671564115778033,207.4618235086448,186.71564115778034,N/A,130.5x,0.13,4
INVH,Invitation Homes Inc.,Real Estate,30.1299991607666,8.18393372874828,-2.681603512370443,-268.2%,Overvalued,7,1.35,7.1%,3.3%,3.4%,0.8183933728748278,9.093259698609199,8.18393372874828,37.33473210830454,2.1x,0.88,4
EBAY,eBay Inc.,Consumer Cyclical,115.43990325927734,30.990990990990987,-2.72495036679645,-272.5%,Overvalued,5,6.59,10.4%,18.1%,3.2%,3.0990990990990985,34.43443443443443,30.990990990990987,56.218401844938306,9.3x,1.56,4
